Name,Price,Colors,Gender
Wide High Ankle Jeans,"34,99 €","Blue, Brown, White",Women
Wide High Jeans,"29,99 €","Black, Blue",Women
Wide High Jeans,"29,99 €","Black, Blue, Gray",Women
Wide High Jeans,"29,99 €","Black, Blue",Women
Wide High Jeans,"34,99 €","Black, White",Women
Wide High Ankle Jeans,"34,99 €","Blue, Brown",Women
Wide High Jeans,"29,99 €","Black, Blue, Gray",Women
Skinny High Jeans,"24,99 €","Black, Blue",Women
Slim Mom High Ankle Jeans,"29,99 €","Blue, Gray",Women
Flared High Jeans,"24,99 €","Blue, White",Women
Wide High Jeans,"34,99 €","Black, White",Women
Wide High Jeans,"29,99 €","Black, Blue, White",Women
Flared High Jeans,"29,99 €","Blue, White",Women
Wide High Jeans,"29,99 €","Black, Blue",Women
Wide Ultra High Jeans,"29,99 €","Black, Blue",Women
Slim Mom High Ankle Jeans,"29,99 €","Blue, Gray",Women
Wide Ultra High Jeans,"29,99 €","Black, Blue",Women
Wide Ultra High Jeans,"29,99 €","Black, Blue",Women
Wide Regular Jeans,"29,99 €",Blue,Women
Slim Mom High Ankle Jeans,"29,99 €","Blue, Gray",Women
Wide High Jeans,"29,99 €","Black, Blue",Women
Wide High Jeans,"29,99 €","Black, Blue",Women
Weite Jeans,"29,99 €","Black, Blue",Women
Flared High Jeans,"29,99 €","Blue, White",Women
Wide Ultra High Jeans,"29,99 €","Black, Blue",Women
Wide High Jeans,"29,99 €","Black, Blue, Red",Women
Wide High Jeans,"34,99 €","Black, White",Women
Skinny High Jeans,"24,99 €","Black, Blue",Women
Flared Low Jeans,"22,99 €","Black, Blue",Women
Flared Low Jeans,"29,99 €","Black, Gray",Women
Wide High Ankle Jeans,"34,99 €","Blue, Brown, White",Women
Wide High Ankle Jeans,"34,99 €","Blue, Brown, White",Women
Wide High Jeans,"29,99 €","Black, Blue, Gray",Women
Wide High Jeans,"29,99 €","Black, Blue, Red",Women
Wide High Ankle Jeans,"34,99 €","Black, Blue, Brown",Women
Flared High Jeans,"19,99 €","Gray, White",Women
Weite Jeans,"29,99 €","Black, Blue",Women
Wide High Jeans,"29,99 €","Black, Blue, Gray",Women
Wide High Jeans,"29,99 €","Black, Blue, Red",Women
Straight High Jeans,"39,99 €",Gray,Women
Weite Jeans,"29,99 €","Black, Blue",Women
Wide High Jeans,"29,99 €","Black, Blue, Gray",Women
Weite Jeans,"29,99 €","Black, Blue, White",Women
Weite Jeans,"29,99 €","Black, Blue",Women
Wide Ultra High Jeans,"29,99 €","Blue, White",Women
Wide High Jeans,"29,99 €","Black, Blue, Red",Women
Barrel High Jeans,"39,99 €","Black, Gray",Women
Slim Straight High Ankle Jeans,"29,99 €","Blue, Gray",Women
Wide High Jeans,"29,99 €","Black, Blue, White",Women
Skinny Regular Ankle Jeans,"39,99 €","Black, Gray",Women
Wide Ultra High Jeans,"29,99 €","Black, Blue",Women
Denimhose mit Kordelzug,"24,99 €","Black, Blue",Women
Wide High Jeans,"29,99 €","Black, Blue",Women
True To You Skinny Ultra High Ankle Jeans,"49,99 €",Blue,Women
Denimhose mit Kordelzug,"24,99 €","Black, Blue",Women
Slim Mom High Ankle Jeans,"29,99 €","Black, Blue",Women
Flared Low Jeans,"29,99 €","Black, Gray",Women
Flared High Jeans,"19,99 €","Gray, White",Women
Wide High Jeans,"29,99 €","Black, Blue",Women
Barrel High Jeans,"39,99 €","Black, Gray",Women
Wide Ultra High Jeans,"29,99 €","Blue, White",Women
Barrel High Jeans,"39,99 €","Black, Gray",Women
Denimhose mit Kordelzug,"24,99 €","Black, Blue",Women
Wide High Jeans,"44,99 €","Gray, White",Women
Wide High Jeans,"29,99 €","Black, Blue, Gray",Women
Straight High Jeans,"39,99 €",Gray,Women
Flared Low Jeans,"22,99 €","Black, Blue",Women
Flared High Jeans,"29,99 €",Blue,Women
Weite Jeans,"29,99 €","Black, Blue",Women
Wide Ultra High Jeans,"29,99 €","Black, Blue, Gray",Women
Wide Ultra High Jeans,"29,99 €","Black, Blue, Gray",Women
