Product_Name,euro_price,gender,Color,company
drawstring flowing trf denim trousers,29.95,F,blue,Zara
drawstring loose-fitting denim trousers,29.95,F,black,Zara
drawstring loose-fitting denim trousers,29.95,F,blue,Zara
high-waist barrel trf jeans,45.95,F,blue,Zara
high-waist curved jeans 50th anniversary,49.95,F,black,Zara
high-waist trf barrel jeans,45.95,F,blue,Zara
high-waist trf wide-leg crossover waist jeans,45.95,F,white,Zara
high-waist trf wide-leg crossover waist jeans,45.95,F,blue,Zara
jeans z.02 straight ankle high-waist,32.95,F,blue,Zara
jeans z.02 straight ankle high-waist,32.95,F,green,Zara
jeans z.02 straight ankle high-waist,32.95,F,brown,Zara
jeans z.02 straight ankle high-waist,32.95,F,black,Zara
jeans z.04 straight mid-waist full length,39.95,F,blue,Zara
jeans z.09 crossover high-waist full length,45.95,F,blue,Zara
jeans z.09 straight ankle high-waist crossover waist,39.95,F,yellow,Zara
jeans z.09 straight ankle high-waist crossover waist,39.95,F,blue,Zara
jeans z1975 90's straight high-waist belt,39.95,F,blue,Zara
jeans z1975 90's straight high-waist belted,39.95,F,blue,Zara
jeans z1975 straight high-waist full length,45.95,F,blue,Zara
jeans z1975 straight mid-waist combined,45.95,F,blue,Zara
jeans zw collection wide leg high-waist,39.95,F,blue,Zara
jeans zw collection wide leg high-waist,39.95,F,black,Zara
mid-rise wide-leg trf jeans,39.95,F,brown,Zara
mid-rise wide-leg trf jeans,39.95,F,blue,Zara
mid-rise wide-leg trf jeans,39.95,F,black,Zara
trf baggy balloon mid-waist jeans,39.95,F,blue,Zara
trf baggy balloon mid-waist jeans,39.95,F,black,Zara
trf cropped flare high-waist jeans,29.95,F,blue,Zara
trf cropped flare high-waist jeans,29.95,F,black,Zara
trf cropped flare high-waist jeans,29.95,F,white,Zara
trf denim trousers with darts,45.95,F,blue,Zara
trf extra wide-leg high-waist jeans,45.95,F,blue,Zara
trf extra wide-leg high-waist jeans,45.95,F,black,Zara
trf low-rise wide-leg jeans,39.95,F,brown,Zara
trf low-rise wide-leg ripped jeans,39.95,F,blue,Zara
trf mid-waist wide-leg jeans,39.95,F,blue,Zara
trf mid-waist wide-leg jeans,39.95,F,black,Zara
trf mom fit high-waist jeans,29.95,F,white,Zara
trf mom fit high-waist jeans,29.95,F,blue,Zara
trf mom high-waist jeans,29.95,F,blue,Zara
