Product Name,Euro Price,Gender,Color,Company
Drawstring Flowing Trf Denim Trousers,29.95,Female,Blue,Zara
Drawstring Loose-Fitting Denim Trousers,29.95,Female,Black,Zara
Drawstring Loose-Fitting Denim Trousers,29.95,Female,Blue,Zara
High-Waist Barrel Trf Jeans,45.95,Female,Blue,Zara
High-Waist Curved Jeans 50Th Anniversary,49.95,Female,Black,Zara
High-Waist Trf Barrel Jeans,45.95,Female,Blue,Zara
High-Waist Trf Wide-Leg Crossover Waist Jeans,45.95,Female,White,Zara
High-Waist Trf Wide-Leg Crossover Waist Jeans,45.95,Female,Blue,Zara
Jeans Z.02 Straight Ankle High-Waist,32.95,Female,Blue,Zara
Jeans Z.02 Straight Ankle High-Waist,32.95,Female,Green,Zara
Jeans Z.02 Straight Ankle High-Waist,32.95,Female,Brown,Zara
Jeans Z.02 Straight Ankle High-Waist,32.95,Female,Black,Zara
Jeans Z.04 Straight Mid-Waist Full Length,39.95,Female,Blue,Zara
Jeans Z.09 Crossover High-Waist Full Length,45.95,Female,Blue,Zara
Jeans Z.09 Straight Ankle High-Waist Crossover Waist,39.95,Female,Yellow,Zara
Jeans Z.09 Straight Ankle High-Waist Crossover Waist,39.95,Female,Blue,Zara
Jeans Z1975 90'S Straight High-Waist Belt,39.95,Female,Blue,Zara
Jeans Z1975 90'S Straight High-Waist Belted,39.95,Female,Blue,Zara
Jeans Z1975 Straight High-Waist Full Length,45.95,Female,Blue,Zara
Jeans Z1975 Straight Mid-Waist Combined,45.95,Female,Blue,Zara
Jeans Zw Collection Wide Leg High-Waist,39.95,Female,Blue,Zara
Jeans Zw Collection Wide Leg High-Waist,39.95,Female,Black,Zara
Mid-Rise Wide-Leg Trf Jeans,39.95,Female,Brown,Zara
Mid-Rise Wide-Leg Trf Jeans,39.95,Female,Blue,Zara
Mid-Rise Wide-Leg Trf Jeans,39.95,Female,Black,Zara
Trf Baggy Balloon Mid-Waist Jeans,39.95,Female,Blue,Zara
Trf Baggy Balloon Mid-Waist Jeans,39.95,Female,Black,Zara
Trf Cropped Flare High-Waist Jeans,29.95,Female,Blue,Zara
Trf Cropped Flare High-Waist Jeans,29.95,Female,Black,Zara
Trf Cropped Flare High-Waist Jeans,29.95,Female,White,Zara
Trf Denim Trousers With Darts,45.95,Female,Blue,Zara
Trf Extra Wide-Leg High-Waist Jeans,45.95,Female,Blue,Zara
Trf Extra Wide-Leg High-Waist Jeans,45.95,Female,Black,Zara
Trf Low-Rise Wide-Leg Jeans,39.95,Female,Brown,Zara
Trf Low-Rise Wide-Leg Ripped Jeans,39.95,Female,Blue,Zara
Trf Mid-Waist Wide-Leg Jeans,39.95,Female,Blue,Zara
Trf Mid-Waist Wide-Leg Jeans,39.95,Female,Black,Zara
Trf Mom Fit High-Waist Jeans,29.95,Female,White,Zara
Trf Mom Fit High-Waist Jeans,29.95,Female,Blue,Zara
Trf Mom High-Waist Jeans,29.95,Female,Blue,Zara
Trf Mom High-Waist Jeans,29.95,Female,Yellow,Zara
Trf Ripped Wide-Leg Mid-Waist Jeans,39.95,Female,Blue,Zara
Trf Ripped Wide-Leg Mid-Waist Jeans,39.95,Female,Black,Zara
Trf Straight Crop Mid-Waist Jeans,45.95,Female,Blue,Zara
Trf Straight Fold Up Mid-Waist Jeans,29.95,Female,Blue,Zara
Trf Straight Mid-Waist Belted Jeans,45.95,Female,Blue,Zara
Trf Wide-Leg High-Waist Full Length Jeans,39.95,Female,Blue,Zara
Trf Wide-Leg High-Waist Full-Length Jeans,39.95,Female,White,Zara
Trf Wide-Leg High-Waist Jeans,39.95,Female,Black,Zara
Trf Wide-Leg High-Waist Jeans,39.95,Female,Grey,Zara
Trf Wide-Leg High-Waist Jeans,39.95,Female,Blue,Zara
Trf Wide-Leg High-Waist Jeans With Crossover Waist,45.95,Female,Blue,Zara
Trf Wide-Leg High-Waist Jeans With Crossover Waist,45.95,Female,White,Zara
Trf Wide-Leg High-Waist Jeans With Wraparound Waist,45.95,Female,Blue,Zara
Trf Wide-Leg Low-Rise Jeans,39.95,Female,Black,Zara
Trf Wide-Leg Low-Rise Jeans,39.95,Female,Blue,Zara
Trf Wide-Leg Low-Rise Jeans,39.95,Female,White,Zara
Trf Wide-Leg Mid-Rise Full Length Jeans,39.95,Female,Black,Zara
Trf Wide-Leg Mid-Rise Full Length Jeans,39.95,Female,Grey,Zara
Trf Wide-Leg Mid-Waist Jeans,39.95,Female,Grey,Zara
Trf Wide-Leg Mid-Waist Scarf Jeans,45.95,Female,Blue,Zara
Z.01 Mom Fit Comfort High-Waist Jeans,29.95,Female,Blue,Zara
Z.01 Mom Fit Comfort High-Waist Jeans,29.95,Female,Grey,Zara
Z.01 Mom Fit Comfort High-Waist Jeans,29.95,Female,Black,Zara
